                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4045,                 1.8653,                 1.5556,                  0.498,                0.59671,                0.55628,                0.30888,                 1.3907,                 2.1837,                 1.5646,             0.00023768,             0.00023768,             0.00023768
                      2,                 1.4524,                 1.6718,                 1.6138,                0.58574,                0.56316,                0.58235,                0.34236,                 1.4445,                 1.9705,                 1.5955,             0.00045998,             0.00045998,             0.00045998
                      3,                   1.45,                 1.6204,                 1.6242,                 0.6191,                0.65175,                0.66526,                0.40709,                 1.3538,                 1.6672,                 1.5424,             0.00066658,             0.00066658,             0.00066658
                      4,                  1.425,                 1.5123,                 1.6061,                0.62425,                0.66335,                0.67041,                0.40332,                 1.3562,                 1.9216,                  1.528,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.3819,                 1.4255,                  1.573,                0.62643,                0.70501,                0.69504,                0.43674,                  1.353,                 1.6891,                 1.5241,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.3401,                 1.3236,                 1.5331,                0.65064,                0.72286,                0.71977,                0.45285,                 1.2796,                 1.2801,                 1.4864,             0.00059619,             0.00059619,             0.00059619
                      7,                 1.3007,                 1.2593,                 1.5074,                0.70207,                 0.7042,                0.75594,                0.48175,                 1.2236,                 1.1628,                 1.4248,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.2813,                 1.2156,                 1.5052,                0.71433,                0.73267,                 0.7776,                0.50781,                 1.1951,                 1.1503,                 1.4253,             0.00054907,             0.00054907,             0.00054907
                      9,                 1.2524,                 1.1721,                 1.4777,                 0.7636,                0.71771,                0.79369,                0.52415,                 1.1847,                   1.25,                 1.3897,              0.0005255,              0.0005255,              0.0005255
                     10,                 1.2246,                  1.103,                 1.4503,                0.76273,                0.73856,                0.79317,                0.51901,                 1.1761,                0.98302,                 1.3958,             0.00050194,             0.00050194,             0.00050194
                     11,                 1.2036,                  1.072,                 1.4374,                0.72883,                0.75054,                0.79469,                0.52927,                  1.154,                 1.0644,                 1.3827,             0.00047838,             0.00047838,             0.00047838
                     12,                 1.1916,                 1.0476,                 1.4308,                0.75951,                0.74385,                0.78947,                0.53238,                 1.1189,                0.94068,                  1.358,             0.00045482,             0.00045482,             0.00045482
                     13,                 1.1716,                 1.0054,                 1.4182,                0.75792,                0.75707,                0.78928,                0.53328,                 1.1357,                 1.0043,                 1.3611,             0.00043126,             0.00043126,             0.00043126
                     14,                 1.1478,                 0.9626,                 1.3978,                0.76992,                0.76548,                0.80837,                0.54479,                 1.1111,                0.95214,                  1.357,             0.00040769,             0.00040769,             0.00040769
                     15,                 1.1211,                0.94254,                 1.3884,                 0.7851,                 0.7593,                0.81087,                0.54832,                 1.0999,                0.83021,                 1.3444,             0.00038413,             0.00038413,             0.00038413
                     16,                 1.1136,                0.91723,                  1.383,                0.77348,                0.77294,                0.81952,                0.56467,                  1.081,                0.81629,                 1.3347,             0.00036057,             0.00036057,             0.00036057
                     17,                 1.0875,                0.87811,                 1.3589,                0.74523,                0.79896,                0.82287,                0.56094,                 1.0897,                 0.8971,                 1.3325,             0.00033701,             0.00033701,             0.00033701
                     18,                  1.093,                0.89872,                 1.3668,                 0.7688,                0.77552,                0.81836,                0.56267,                 1.0835,                0.84644,                 1.3238,             0.00031345,             0.00031345,             0.00031345
                     19,                 1.0676,                0.85011,                 1.3496,                0.77088,                0.78891,                 0.8309,                0.57385,                 1.0721,                0.79498,                 1.3239,             0.00028988,             0.00028988,             0.00028988
                     20,                 1.0511,                0.83218,                 1.3361,                0.75572,                0.81479,                0.83039,                0.56961,                 1.0928,                0.78071,                 1.3344,             0.00026632,             0.00026632,             0.00026632
                     21,                0.99601,                0.71048,                 1.3173,                0.76852,                0.79166,                0.82019,                0.57104,                  1.068,                0.76213,                 1.3143,             0.00024276,             0.00024276,             0.00024276
                     22,                0.97836,                0.68208,                 1.3151,                0.78556,                0.79583,                0.84168,                0.58769,                  1.046,                0.73888,                  1.315,              0.0002192,              0.0002192,              0.0002192
                     23,                0.96001,                0.65681,                  1.296,                0.79726,                0.77878,                0.83693,                0.58271,                 1.0391,                0.71732,                 1.3043,             0.00019564,             0.00019564,             0.00019564
                     24,                0.94055,                0.63216,                 1.2934,                0.78849,                0.78844,                0.83513,                 0.5818,                 1.0524,                0.72554,                 1.3137,             0.00017207,             0.00017207,             0.00017207
                     25,                0.92936,                0.60655,                 1.2815,                0.77985,                0.80996,                0.84357,                0.59575,                 1.0331,                0.73164,                 1.3003,             0.00014851,             0.00014851,             0.00014851
                     26,                0.91438,                0.58686,                 1.2682,                0.77056,                0.82017,                0.83717,                0.59177,                 1.0261,                0.70494,                 1.2942,             0.00012495,             0.00012495,             0.00012495
                     27,                0.89422,                 0.5683,                 1.2534,                0.80444,                0.81157,                0.85314,                0.60213,                 1.0395,                0.69801,                 1.3041,             0.00010139,             0.00010139,             0.00010139
                     28,                0.87741,                0.54299,                 1.2408,                0.80194,                0.80621,                0.84609,                0.60046,                 1.0216,                0.68637,                 1.2958,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.85925,                0.53004,                 1.2268,                0.79972,                0.81089,                0.84619,                0.60138,                 1.0206,                0.69666,                 1.2924,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.84674,                0.51999,                 1.2119,                0.80339,                0.81708,                0.85017,                0.60675,                 1.0108,                0.65929,                 1.2886,             3.0702e-05,             3.0702e-05,             3.0702e-05
